	Person	عبد السلام بن أبي الفتح محمد بن التقي محمد بن عبد السلام الكازروني المدني (ابن تقي)	ʿAbd al-Salām b. Abī al-Fatḥ Muḥammad b. al-Taqī Muḥammad al-Kāzarūnī al-Madanī (Ibn Taqī)	TMP-P-NEW88g-01	出現: D07659（父）。見出しナサブ「محمد بن عبد السلام بن أبي الفتح محمد أبو الفضل الكازروني المدني ويعرف بابن تقي」から1段ずらして復元（統一規則3）。マディーナのカーザルーニー家（ابن تقي）: 曾祖父 التقي محمد بن عبد السلام بن محمد بن روزبة＝#AIND-D07660（815年没「والد المحمدين فتح الدين وأبي حامد」）、祖父＝فتح الدين أبو الفتح محمد。同家の #AIND-D01529・#AIND-D10861（ともに「ابن تقي」）参照。corpus に本伝なし・ID-Master 未登録（既登録 P-000141／000438／000439／000861／000873 の الكازروني 各人は別人）。	
	Person	عبد السلام بن محمد بن عبد العزيز المدني	ʿAbd al-Salām b. Muḥammad b. ʿAbd al-ʿAzīz al-Madanī	TMP-P-NEW88g-02	出現: D07661（父）。見出しナサブ「محمد بن عبد السلام بن محمد بن عبد العزيز المدني سبط علي البواب」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名＋ニスバのみ）。同名別人への流用禁止。	
	Person	عبد العزيز بن أحمد بن قاسم التميمي المغربي الأصل المدني (ابن قاسم)	ʿAbd al-ʿAzīz b. Aḥmad b. Qāsim al-Tamīmī al-Maghribī al-Madanī (Ibn Qāsim)	TMP-P-NEW88g-03	出現: D07666（父）。見出しナサブ「محمد بن عبد العزيز بن أحمد بن قاسم ناصر الدين أبو الفرج التميمي المغربي الأصل المدني المالكي … ويعرف بابن قاسم」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠既登録 TMP-P-001140「عبد العزيز بن أحمد المدني」（#AIND-D07671 の父、الحنفي الخواص）は法学派・一族が異なる別人。	
	Person	عبد اللطيف البرلسي السكندري	ʿAbd al-Laṭīf al-Burullusī al-Sakandarī	TMP-P-NEW88g-04	出現: D07739（父）。アレクサンドリアの商人一族の父。子＝#AIND-D07739（محمد、881年没）・#AIND-D05246（علي、887年マッカ没）の2人が corpus に立項。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋ニスバのみ）。同名別人への流用禁止。	
	Person	خليل بن الناصر (بائع بيت المنصور بن الظاهر جقمق)	Khalīl b. al-Nāṣir	TMP-P-NEW88g-05	出現: D07739（家屋の売主「بيت المنصور بن الظاهر جقمق الذي صار إليه بعد خليل بن الناصر اشتراه منه حين تحول لدمياط」）。المنصور عثمان بن جقمق（#AIND-D04849）邸の所有者で、ダミエッタへ転居した際に本項主へ売却。「الناصر」は الناصري محمد بن الظاهر جقمق（المنصور の兄）の可能性が高い（叔父の邸が甥に渡った経緯として整合）が未確定。corpus に他の言及なし・ID-Master 未登録。要判断 §Dg-9。	
	Person	عبد الله بن إبراهيم بن حمام الشامي	ʿAbd Allāh b. Ibrāhīm b. Hammām al-Shāmī	TMP-P-NEW88g-06	出現: D07740（父）。見出しナサブ「محمد بن عبد الله بن إبراهيم بن حمام الشمس الشامي ثم المكي」から1段ずらして復元（統一規則3）。孫＝#AIND-D01366（أحمد … بن حمام）・#AIND-D08857（أبو الفتح محمد … بن حمام）。corpus に本伝なし・ID-Master 未登録。	
	Person	الجمال عبد الله بن البرهان إبراهيم بن عبد الرحمن بن علي بن سنان بن رميح السعدي القاهري	al-Jamāl ʿAbd Allāh b. al-Burhān Ibrāhīm b. ʿAbd al-Raḥmān al-Saʿdī al-Qāhirī	TMP-P-NEW88g-07	出現: D07742（父、cert medium）。本項主「محمد أخو الذي قبله」（791年生）の兄 #AIND-D07741（محمد بن عبد الله بن إبراهيم بن عبد الرحمن بن علي بن سنان بن رميح محي الدين أبو نافع بن الجمال بن البرهان السعدي القاهري الشافعي ويعرف بالأزهري وبابن الريفي、789年生）の見出しナサブから1段ずらして復元。D07741 側（担当外）にも同じ番号を充当すべき。corpus の عبد الله بن إبراهيم 部（D04374〜D04379）に本伝なし・ID-Master 未登録。	
	Person	عبد الله بن إبراهيم المسوفي	ʿAbd Allāh b. Ibrāhīm al-Masūfī	TMP-P-NEW88g-08	出現: D07744（父「وقدم مع أبيه المدينة وهو ابن سنتين أو ثلاث」）。マスーファ出自で829／830年頃に子（#AIND-D07744、827年生）を伴ってマディーナへ移住。孫＝#AIND-D08856（محمد بن محمد بن عبد الله بن إبراهيم الشمس بن الشمس المسوفي الأصل المدني المالكي）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名＋ニスバのみ）。同名別人への流用禁止。	
	Person	خديجة (المدعوة سعادة) ابنة إبراهيم بن أحمد بن أبي بكر المرشدي	Khadīja (Saʿāda) bt. Ibrāhīm b. Aḥmad b. Abī Bakr al-Murshidī	TMP-P-NEW88g-09	出現: D07749（母「أمهم خديجة ابنة إبراهيم بن أحمد المرشدي」）、D07747／D07748（母、cert medium）。القسطلاني 家の العفيف عبد الله بن أحمد بن حسن（#AIND-D04386）の妻で أبو البقاء（D07747）・الجمال أبو الخير（D07748）・أبو المكارم（D07749）の母。クンヤ部 #AIND-D10629「وأمه خديجة المدعوة سعادة ابنة إبرهيم بن أحمد المرشدي」・#AIND-D11109 に同名。#AIND-D05368（علي الأصفر بن محمد بن أحمد بن حسن القسطلاني、798年生）・#AIND-D13474（فاطمة ابنة محمد بن أحمد بن حسن القسطلاني、799年生）の母「خديجة ابنة إبراهيم بن أحمد بن أبي بكر المرشدي」と同一人物と考えられる（先夫＝夫の兄 محمد بن أحمد بن حسن、801年没）。兄＝الجمال محمد بن إبراهيم المرشدي（D10629／D11109「خاله」）。corpus 女性部に本伝なし・ID-Master 未登録（既登録 TMP-P-000961／001008 の المرشدي 各人は別人）。	女性
	Location	الرمل (ظاهر اسكندرية)	al-Raml (ẓāhir Iskandariyya)	TMP-L-NEW88g-01	出現: D07739（没地「مات … بالرمل ظاهر اسكندرية」）。アレクサンドリア郊外の砂地の地区。GeoNames 照合不可。既登録 TMP-L-00059「الرملة」（パレスチナ）とは別実体。	
	Location	الجزيرة خارج باب البحر (اسكندرية)	al-Jazīra khārij Bāb al-Baḥr (Iskandariyya)	TMP-L-NEW88g-02	出現: D07739（埋葬地「فحمل إلى الجزيرة خارج باب البحر فدفن عند الشيخ علي الموازيني」）。アレクサンドリア海門（باب البحر）外の墓域。既登録 TMP-L-00075「الجزيرة」（注記なし・所在不明）とは区別して発行。	
	Location	الوراقين (سوق الوراقين بالقاهرة)	al-Warrāqīn (Sūq al-Warrāqīn, Cairo)	TMP-L-NEW88g-03	出現: D07750（「بحانوت بالوراقين」）。カイロの書籍商街。既登録 TMP-L-00263「الوراق」（カイロ北郊の村）とは別実体。	
	Text	الكتب الستة | الستة	al-Kutub al-Sitta	TMP-T-NEW88g-01	出現: D07736（「قرأ علي أماكن من الستة」）。六書（ハディース六大集成）の総称。repo 既存の AIND-D00046／D00196／D00277 にも「الكتب الستة」が bibl として現れるが ref なし。ID-Master 未登録。要判断 §Dg-6（総称に Text 番号を与えるか）。	
	Office	مادح الحرم | المادح بالحرم النبوي	mādiḥ al-Ḥaram	TMP-O-NEW88g-01	出現: D07744（「المادح بحرمها … وصار مادح الحرم」）。マディーナの預言者モスク（TMP-I-00120）における頌詩（マディーフ）詠唱者。	
	Office	التكسب في الزجاج | زجاج	al-takassub fī al-zujāj	TMP-O-NEW88g-02	出現: D07750（「واشتغل بالتكسب في الزجاج بحانوت بالوراقين」）。ガラス（器）商い。手工業・商いの O 登録先例（O-00156 عقد الأزرار、O-00233 صناعة الحرير）に倣う。	
