熊倉	Person	فخر الدين بن جلال بن أحمد بن فضل الواسطي	Fakhr al-Dīn b. Jalāl b. Aḥmad b. Faḍl al-Wāsiṭī	TMP-P-000876	出現項: D03050（父）。ワースィト系の家系。子=زين العباد بن فخر الدين（#AIND-D03050、838年没）。D03050 の見出しナサブ「زين العباد بن فخر الدين بن جلال بن أحمد بن فضل الواسطي」から1段ずらして復元。ラカブ فخر الدين のみで固有名(اسم)は原文に無し。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	جلال بن أحمد بن فضل الواسطي	Jalāl b. Aḥmad b. Faḍl al-Wāsiṭī	TMP-P-000877	出現項: D03050（祖父）。孫=زين العباد（#AIND-D03050）、子=فخر الدين（同項の父・別途 NEW 提案）。D03050 の見出しナサブから2段ずらして復元。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	أحمد بن علي المكي البنا | ابن ناصر	Aḥmad b. ʿAlī al-Makkī al-Bannāʾ (Ibn Nāṣir)	TMP-P-000878	出現項: D03080（父）。メッカの建築工(البنا=TMP-O-00187)で、シュフラは ابن ناصر。子=سعد بن أحمد بن علي المكي البنا（#AIND-D03080、サハーウィーの聴聞者）。D03080 の見出し「سعد بن أحمد بن علي المكي البنا ويعرف أبوه بابن ناصر」から1段ずらして復元（「ويعرف أبوه بابن ناصر」は父に明示的に帰属する原文要素）。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	عثمان السكندري	ʿUthmān al-Sakandarī	TMP-P-000879	出現項: D03681（父）。子=الجمال عبد الرحمن بن عثمان السكندري الترجمان التاجر（#AIND-D03681、849年ラマダーン没）。D03681 の見出し「عبد الرحمن بن عثمان جمال الدين السكندري الترجمان التاجر」から1段ずらして復元（ラカブ جمال الدين・職 الترجمان التاجر は本項主に帰属するため父には付さない）。⚠#AIND-D03908「عبد الرزاق بن عثمان جمال الدين التركماني السكندري التاجر . مات في رمضان سنة تسع وأربعين」は父名・ラカブ・ニスバ・没月まで一致し、同一人物の重複立項または実兄弟の可能性が高い（その場合 التركماني も父のニスバ）。corpus に父の本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	محمد بن عبد الرحمن بن عثمان السكندري	Muḥammad b. ʿAbd al-Raḥmān b. ʿUthmān al-Sakandarī	TMP-P-000880	出現項: D03681（息子）。原文「ومات له ابن اسمه محمد」＝父の存命中に死去した息子。D03681 のナサブから1段下げて復元。⚠初版の #TMP-P-000529 は別実体（إبراهيم بن عبد الله ابن جماعة の息子 محمد）の汚染番号のため使用不可。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	محمد بن عبد الرحمن بن عمر بن عبد العزيز بن عمر بن عامر البصروي	Muḥammad b. ʿAbd al-Raḥmān b. ʿUmar b. ʿAbd al-ʿAzīz b. ʿUmar b. ʿĀmir al-Buṣrawī	TMP-P-000881	出現項: D03711（息子）。上記 student 行と同一人物＝TMP-P は1件のみ発行し、student/son 両 relation から同一番号を参照する。D03711 のナサブから復元。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	أبو بكر بن محمد بن أحمد العرشاني	Abū Bakr b. Muḥammad b. Aḥmad al-ʿArshānī	TMP-P-000882	出現項: D03733（兄弟）。イエメン・タイズの裁判官。兄 وجيه الدين أبو محمد عبد الرحمن（#AIND-D03733）の837年没後にタイズ裁判官職を継ぎ、839年ペストで死去。下記 successor 行と同一人物につき同一番号。D03733 の見出しナサブ「عبد الرحمن بن محمد بن أحمد … العرشاني」から兄弟として復元。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	المحب أبو عبد الله محمد بن عبد الله بن محمد بن فرحون اليعمري المدني المالكي	al-Muḥibb Abū ʿAbd Allāh Muḥammad b. ʿAbd Allāh b. Muḥammad b. Farḥūn al-Yaʿmarī al-Madanī al-Mālikī	TMP-P-000883	出現項: D03764（父）。マディーナのイブン・ファルフーン家（اليعمري المدني المالكي، بيت رياسة وقضاء وعلم）。子は عبد الرحمن البدر=#AIND-D03764、عبد الله البدر أبو محمد=#AIND-D04590（マディーナ裁判官）、محمد ناصر الدين أبو البركات=#AIND-D08874（同）。D03764 の見出し「عبد الرحمن بن محمد بن عبد الله بن محمد بن فرحون البدر بن المحب أبي عبد الله اليعمري المدني المالكي」のナサブを1段ずらし、原文明示のラカブ المحب とクンヤ أبو عبد الله を付して復元（Waka裁定(a)の例示そのもの）。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	محمد بن أبي عبد الله بن سلامة الماكسيني الدمشقي	Muḥammad b. Abī ʿAbd Allāh b. Salāma al-Māksīnī al-Dimashqī	TMP-P-000884	出現項: D03768（父）。ダマスカス・ウマイヤ・モスクのムアッズィンかつその長（رئيس المؤذنين）。子 عبد الرحمن（#AIND-D03768）が「مؤذن جامعها ورئيسه كأبيه」＝父も同職であったことが原文に明示される。D03768 の見出しナサブ「عبد الرحمن بن محمد بن أبي عبد الله بن سلامة الماكسيني الدمشقي」から1段ずらして復元。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	أبو عبد الله بن سلامة الماكسيني الدمشقي | محمد بن سلامة الماكسيني	Abū ʿAbd Allāh b. Salāma al-Māksīnī al-Dimashqī	TMP-P-000885	出現項: D03768（祖父）。孫=عبد الرحمن（#AIND-D03768）、子=محمد（同項の父・別途 NEW 提案）。D03768 の見出しナサブ「عبد الرحمن بن محمد بن أبي عبد الله بن سلامة الماكسيني الدمشقي」から2段ずらして復元。原文末尾「ورأيت من سمى جده محمدا」＝クンヤ أبو عبد الله で通用するが محمد と名指す記録もある旨をサハーウィーが註記しており、別索引 #AIND-D03788 は実際に「محمد بن محمد بن سلامة」と綴る。両形を併記して登録。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	محمد بن علي السروي المديني	Muḥammad b. ʿAlī al-Sarawī al-Madīnī	TMP-P-000886	出現項: D03781（父）。子=الزين عبد الرحمن بن محمد بن علي السروي المديني الشافعي（#AIND-D03781、サハーウィーに النخبة を読み、سعيد السعداء のスーフィー）。D03781 の見出しナサブから1段ずらし、原文のニスバ السروي・المديني を付して復元（ラカブ الزين と法学派 الشافعي は本項主に帰属するため付さない）。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	محمد بن محمد بن يحيى الواسطي	Muḥammad b. Muḥammad b. Yaḥyā al-Wāsiṭī	TMP-P-000887	出現項: D03801（父）。原文「كان أبوه من المحدثين」＝ハディース学者。子=الشرف عبد الرحمن（#AIND-D03801、ワースィト→アレクサンドリア→アデンの商人）。D03801 の見出しナサブ「عبد الرحمن بن محمد بن محمد بن يحيى الشرف الواسطي」から1段ずらして復元。⚠#AIND-D10733 にアレクサンドリアの一括イジャーザ授与者として「الكمال محمد بن محمد بن يحيى الواسطي」が現れ、同一人物の可能性が高い（ラカブ الكمال。ただし本伝ではなく他項中の言及のため canonical には含めない）。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	عبد الرحيم بن محمود بن أحمد العيني الأصل القاهري	ʿAbd al-Raḥīm b. Maḥmūd b. Aḥmad al-ʿAynī	TMP-P-000888	出現項: D03812（兄弟）。ラカブは الزين、法学派はハナフィー（子 #AIND-D00846 の見出し「الشهاب بن الزين بن شيخنا البدر العيني الأصل القاهري الحنفي」による。canonical には原文 D03812 由来の要素のみを採用）。父=البدر محمود بن أحمد العيني（wd:Q257745、#AIND-D04016 でも father relation として登場）、兄弟=عبد الرحمن قرة العين（#AIND-D03812、822年没）、子=الشهاب أحمد（#AIND-D00846）、娘=عائشة。D03812 の見出し「عبد الرحمن ابن شيخنا البدر محمود بن أحمد العيني الأصل القاهري أخو عبد الرحيم الآتي」から兄弟として復元。原文の「الآتي」に反し corpus の عبد الرحيم 部（#AIND-D03876〜D03894）に本伝が存在しない（欠落）。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	فخر الدين بن تقي الدين الحسني	Fakhr al-Dīn b. Taqī al-Dīn al-Ḥasanī	TMP-P-000889	出現項: D03830（父）。アシュラーフのナキーブ（نقيب الأشراف=TMP-O-00068。原文「وابن نقيبهم」＝本項主は「彼らのナキーブの子」）。子=عبد الرحمن（#AIND-D03830、803年ラビーウ1月没、イブン・ハジャルが言及）およびもう一人のナキーブ（同項 brother 行、名不詳につき KEEP）。D03830 の見出しナサブ「عبد الرحمن بن فخر الدين بن تقي الدين الحسني」から1段ずらして復元（固有名は原文に無くラカブのみ）。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	محمد بن أبي بكر الرومي الحنفي	Muḥammad b. Abī Bakr al-Rūmī al-Ḥanafī	TMP-P-000890	出現項: D03879（父）。子=عبد الرحيم بن محمد بن أبي بكر الرومي الحنفي（#AIND-D03879）。D03879 の見出しナサブ「عبد الرحيم بن محمد بن أبي بكر الرومي الحنفي」から1段ずらして復元（ニスバ الرومي・法学派 الحنفي は出自・家系属性として父に及ぶ）。⚠relation の desc「الإمام」はサハーウィーの推測「أظنه ابن الإمام الآتي فيمن لم يسم أبوه」に由来し、父を「الإمام」と同定することは確定できないため canonical に含めない（ラカブ扱いにしない）。父子関係そのものは見出しのナサブから確実。⚠2026-09-01 裁定 §D-5 は「أظنه」を理由に #NEEDID 保持としていたが、Waka裁定(a)（裸の名の近親にも復元形で TMP-P を発行）に照らし NEW に変更する提案＝要再裁定。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
熊倉	Person	حسن الدنجيهي	Ḥasan al-Danjīhī	TMP-P-000891	出現項: D03898（父）。子=عبد الرزاق بن حسن الدنجيهي ثم القاهري الشافعي（#AIND-D03898、سعيد السعداء のスーフィー、896年没）。D03898 の見出し「عبد الرزاق بن حسن الدنجيهي ثم القاهري」から1段ずらして復元。ニスバ الدنجيهي（下エジプトの村 دنجية=TMP-N-00981）は出身地ニスバとして父に及ぶ一方、「ثم القاهري」は子自身の移住を示すため付さない。⚠初版の TMP-P-000204 は ID-Master 登録「حسن＝AIND-D0106 の息子」＝別人への流用のため使用不可。corpus に本伝なし。	§E-1(a) 裁定(2026-09-03)による新規発行(ナサブからの復元形)
