	Person	عبد الدائم بن عمر بن عوض الزين المرصفي (القاضي زين الدين)	ʿAbd al-Dāʾim b. ʿUmar b. ʿAwaḍ al-Zayn al-Marṣafī	TMP-P-NEW88d-01	出現: D07527（父、「محمد بن عبد الدائم بن عمر بن عوض المحب … بن الزين بن العلامة أبي حفص المرصفي」）。見出しナサブから1段ずらして復元（統一規則3）。#AIND-D00808「أحمد بن عبد الدائم بن عمر الشهاب بن القاضي زين الدين المرصفاوي」の父でもある（＝カーディー）。父＝العلامة أبو حفص عمر بن عوض المرصفي。corpus に本伝なし。初版の TMP-P-000238（ID-Master 裸名「عبد الدائم」のみ・repo 未使用）は流用せず。	
	Person	عبد الرحمن بن أحمد بن عبد الوهاب البرلسي (ابن وهيب)	ʿAbd al-Raḥmān b. Aḥmad b. ʿAbd al-Wahhāb al-Burullusī	TMP-P-NEW88d-02	出現: D07535（父、「بعد موت أبيه بمكة سنة أربع وتسعين」）。見出しナサブから復元（統一規則3）。兄弟＝#AIND-D06722（محمد بن أحمد بن عبد الوهاب الشمس البرلسي التاجر ويعرف بابن وهيب）。894年にマッカで没。corpus に本伝なし・ID-Master 未登録。	
	Person	ابن أخي الشهاب بن الفرفور (كاتب سر دمشق من جمادى الآخرة 892)	Ibn akhī al-Shihāb b. al-Farfūr	TMP-P-NEW88d-03	出現: D07539（後任、「ثم صرف في جمادى الآخرة من التي تليها بابن اخي الشهاب بن الفرفور」）。⚠人名不詳。الشهاب أحمد بن محمود … ابن الفرفور（#AIND-D01637）の甥で、892年ジュマーダー・アル＝アーヒラ月にダマスカスの كاتب السر に就任。corpus に本伝未検出・ID-Master 未登録。同名別人への流用禁止。	
	Person	خديجة ابنة القاضي سليمان بن علي بن الجنيد	Khadīja bt. al-Qāḍī Sulaymān b. ʿAlī b. al-Junayd	TMP-P-NEW88d-04	出現: D07541（母、「وأمه خديجة ابنة القاضي سليمان بن علي بن الجنيد」）。女性(F)。父＝#AIND-D03156（سليمان بن علي بن أحمد القاضي نفيس الدين أبو الربيع القرشي اليمني ويعرف بالجنيد أو ابن الجنيد、アデンのカーディー）。夫＝#AIND-D03605（عبد الرحمن بن أبي بكر بن عبد الله بن ظهيرة）。女性部に本伝なし・ID-Master 未登録。	
	Person	عبد الرحمن بن أبي بكر بن عمر الدمشقي الكفرسوسي	ʿAbd al-Raḥmān b. Abī Bakr b. ʿUmar al-Dimashqī al-Kafrsūsī	TMP-P-NEW88d-05	出現: D07543（父、「محمد بن عبد الرحمن بن أبي بكر بن عمر الفاضل الشمس الدمشقي الكفرسوسي الشافعي」）。見出しナサブから1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。	
	Person	عبد الرحمن بن حسن بن محمد الرعيني الأندلسي الأصل الطرابلسي المالكي (الحطاب)	ʿAbd al-Raḥmān b. Ḥasan b. Muḥammad al-Ruʿaynī al-Ḥaṭṭāb	TMP-P-NEW88d-06	出現: D07546（父、cert medium。見出し「محمد أبو عبد الله أخو الذي قبله」）。前項 #AIND-D07545「محمد بن عبد الرحمن بن حسن بن محمد أبو عبد الله الرعيني الأندلسي الأصل … المالكي نزيل مكة ويعرف … بالحطاب … ومات كل من أبويه في أسبوع واحد في ذي الحجة سنة إحدى وثمانين بالطاعون」（カイロで没）の父＝同一人物。D07545（本バッチ外）収録時に同番号で統一要。corpus に本伝なし・ID-Master 未登録。	
	Location	سوق الغزل | سوق الغزل الشرب	Sūq al-Ghazl	TMP-L-NEW88d-01	出現: D07538（「الدلال بسوق الغزل الشرب」＝勤務先）。糸・上質亜麻布（شرب）の市場。原文に都市名の明記なし（本項主は القاهري）。ID-Master 未登録。	
	Institution	ديوان السبع (بدمشق)	Dīwān al-Sabʿ	TMP-I-NEW88d-01	出現: D07530（「باشر نظر ديوان السبع ثم تركه」、イブン・ハジャル『إنباء الغمر』からの引用）。ダマスカスのウマイヤ・モスクのクルアーン七分誦ワクフ「السبع الكبير」の管財局とみられるが原文に所在の明記なし。cf. TMP-O-00256（شيخ السبع）。ID-Master 未登録。	
	Text	لامية ابن مالك | لامية الأفعال	Lāmiyyat Ibn Mālik | Lāmiyyat al-Afʿāl	TMP-T-NEW88d-01	出現: D07516（「شرح لامية ابن ملك」の注釈対象）。ابن مالك の動詞形態論詩『لامية الأفعال』。ID-Master 未登録（ألفية ابن مالك＝TMP-T-00080 とは別書）。Wikidata item の有無は要照合。	
	Text	شرح لامية ابن مالك (لمحمد بن العباس المغربي مفتي تلمسان)	Sharḥ Lāmiyyat Ibn Mālik (li-Muḥammad b. al-ʿAbbās al-Maghribī)	TMP-T-NEW88d-02	出現: D07516（「له تصانيف منها شرح لامية ابن ملك」）。著者＝本項主 #AIND-D07516（871年没）。先例 TMP-T-00168／00136（著作と注釈対象を別番号で登録）に倣う。ID-Master 未登録。	
