pid	tag	subtype	desc	verdict	id_or_type	arabic_canonical	latin	note_for_idmaster	evidence	confidence	group
AIND-D05624	REF	transfer	علي بن محمد الأقواسي . فيمن جده أحمد	REF	AIND-D05393			転送先=ابن الأقواسي。ID-Master追加不要	corpus見出し #AIND-D05393「علي بن شمس الدين محمد بن أحمد البصري الأصل المكي ويعرف بابن الأقواسي واسم جده أحمد بن علي」／ニスバ索引 #AIND-D11440「الأقواسي علي بن محمد بن أحمد بن علي البصري الأصل المكي」＝祖父أحمد で一致	H	REF-A1
AIND-D05638	REF	transfer	علي بن محمد الناسخ الكاتب . مضى فيمن جده عبد النصير	REF	AIND-D05462			転送先=العلاء عصفور الكاتب。同一人物の別索引 #AIND-D05719/#AIND-D05763/#AIND-D11310 も同じ本伝を指す	corpus見出し #AIND-D05462「علي بن محمد بن عبد النصير العلاء السخاوي الأصل الدمشقي ثم المصري الكاتب ويلقب بعصفور」＋本文「الكاتب المجود كاتب المنسوب الملقب بعصفور موقع الدست」	H	REF-A2
AIND-D05663	REF	transfer	علي بن موسى بن قريش المكي . فيمن جده علي قريبا	REF	AIND-D05661			本伝末尾「وأسقط عليا من نسبه في موضع آخر」がD05663の短縮نسبを説明。祖父=علي（قريش は曾祖父）	corpus見出し #AIND-D05661「علي بن موسى بن علي بن قريش بن داود الهاشمي الحارثي المكي」（D05663の直前＝「قريبا」に合致）	H	REF-A3
AIND-D05687	REF	transfer	علي بن يوسف بن أبي البركات الملطي . فيمن جده موسى بن محمد	REF	AIND-D05701			見出しの「ابن أبي البركات」は父الجمالのクンヤ。ニスバ الملطي も本伝で明示	corpus見出し #AIND-D05701「علي بن يوسف بن موسى بن محمد بن محمد بن أحمد بن أبي تكين … النور أبو الحسن بن قاضي القضاة الجمال بن أبي البركات الخيربرتي الأصل … الحلبي الحنفي … ويعرف بابن الملطي」	H	REF-A4
AIND-D05708	REF	transfer	علي نور الدين بن بطيخ المقري . ذكرته في الموحدة من الآباء	REF	AIND-D05073			本伝に「وليس بطيخ اسم أبيه وإنما كتبته هنا لعدم معرفة اسمه فاكتفيت بشهرته」＝父名不詳のためشهرةで立項。よってD05708のfather「بطيخ」は人名ではなくشهرة（father relationは要再検討）	corpus見出し #AIND-D05073「علي بن بطيخ القاهري الضرير أحد رؤساء قراء الجوق」／索引 #AIND-D12192「ابن بطيخ … وعمه النور علي المقري الضرير」＝نور الدين علي المقري と一致	H	REF-A5
AIND-D00216	placeName	ref	الكدرا / al-Kadarā	NEW:L	NEW:L	الكدرا | الكدراء	al-Kadrāʾ	イエメン・ティハーマの町。#AIND-D00216 の没地。corpus他所に「قضاء الكدرا」(D01165/D03455)「جامع الكدراء」(D03762)「مات بالكدراء」(D07107)「قضاء الكدراء ثم زبيد」(D07799)＝ザビード近傍の司法区。ar-Latn行と同一判定	corpus D00216「مات في ثالث أيام التشريق سنة سبع عشرة بالكدرا」／ID-Master Location に該当なし（「الكدر」語幹で0件）	H	
AIND-D00566	state	office	الشيخونية（XML実体は office ラベル「خادم الشيخونية وسحنتها」）	NEW:O	NEW:O	خادم الشيخونية	khādim al-Shaykhūniyya	機関 الشيخونية 自体は同ファイル affiliation で #TMP-I-00027 に解決済。未解決なのは state/@ref＝職名。カイロ・シャイフー・ハーンカーの用務職（後任 أبو الطيب السيوطي）。既存の خادم 系（O-00153/00184/00200）と同系列	"XML: <state type=""office"" ref=""#NEEDID""><label>خادم الشيخونية وسحنتها</label>／corpus「أحمد بن إينال … خادم الشيخونية وسحنتها … واستقر عوضه في الخدمة أبو الطيب السيوطي」／ID-Master「Institution|الشيخونية | خانقاه شيخو|TMP-I-00027」"	H	
AIND-D00586	placeName	ref	المحالب	NEW:L	NEW:L	المحالب	al-Maḥālib	イエメン・ティハーマの地方（ザビード北方）。#AIND-D00586 の قضاء 管轄地。ニスバ المحالبي（D04350）、ザビードの مدرسة المحالبية（D04863/D07115/D08133）、「جبال اليمن شرقي المحالب」（D01942）	"XML: <state type=""office"" ref=""wd:Q217029"">…<placeName ref=""#NEEDID"">المحالب</placeName>／corpus D00586「ولي قضاء المحالب」／ID-Master Location に「المحالب」なし"	H	
AIND-D00679	state	office	الفراش	EXIST	TMP-O-00033	فراش	farrāsh	既登録。⚠ID-Master に فراش が2件（TMP-O-00033・TMP-O-00190）＝重複。同一 corpus の D03767 は既に #TMP-O-00033 を使用しており整合	ID-Master行「Office | فراش |  | TMP-O-00033 | 」（別行 Office | فراش | farrāsh | TMP-O-00190 | D05632…）／corpus D00679「أحمد بن حسن الرومي المكي الفراش بها」	H	
AIND-D00801	state	office	كتابة العلامة	NEW:O	NEW:O	كتابة العلامة	kitābat al-ʿalāma	スルターンの花押（علامة）記入職。#AIND-D00801 が父 عبد الباسط（ناظر الجيش）の代理として務めた。既存の كاتب السر(O-00008)・كاتب التوقيع(O-00043)・الموقع بالدست(O-00052)とは別職	corpus D00801「ناب عن والده في كتابة العلامة」／ID-Master に「العلامة」を含む Office 行なし	H	
