pid	subtype	desc	verdict	id_or_new	arabic_canonical	latin	note_for_idmaster	evidence	confidence	group
AIND-D00060	student	أولاد شيخنا (ابن حجر العسقلاني)	TMP:TMP-P-000418	TMP-P-000418			既登録の集合人格を充当。新規登録不要。	原文 D00060「وكذا قال شيخنا وقد ذكره في القسم الثاني من معجمه أجاز لأولادي」＝イジャーザの受け手はイブン・ハジャル(wd:Q471116)本人ではなくその子供たち／ID-Master「أولاد ابن حجر | TMP-P-000418 | 収録すべきか判断に迷ったが、一応記載」が同一の集合人格	H	
AIND-D00635	teacher	سمع | السماع	AIND:#AIND-D12898	AIND-D12898			ID-Master 追加不要。#NEEDID を #AIND-D12898 に置換。	corpus見出し #AIND-D12898「$$ 55 أنس ابنة عبد الكريم بن أحمد بن عبد العزيز بن عبد الكريم بن أبي طالب بن علي بن سيدهم أم الكرم ابنة الكريمي اللخمي النستراوي الأصل القاهري أخت آمنة الماضية قريبا وزوج شيخنا」＝「وزوج شيخنا」で本人確定／#AIND-D06530「وأم هانئ الهورينية وأنس اللخمية جهة شيخنا ابن حجر」／#AIND-D13154「سارة … أم أنس جهة شيخنا」。原文 D00635「سمع على شيخنا وجهته」	H	
AIND-D00875	teacher	جماعة	KEEP	KEEP				原文 D00875「سمع في النسائي الكبير بقراءة البقاعي على جماعة」＝不特定多数の集合表現で、個々の師の名は一切挙がらない。復元すべきナサブが存在せず TMP-P 発行不能。#NEEDID 保持（または relation 削除を校閲判断）	H	
AIND-D03050	father	فخر الدين	NEW	NEW	فخر الدين بن جلال بن أحمد بن فضل الواسطي	Fakhr al-Dīn b. Jalāl b. Aḥmad b. Faḍl al-Wāsiṭī	出現項: D03050（父）。ワースィト系の家系。子=زين العباد بن فخر الدين（#AIND-D03050、838年没）。D03050 の見出しナサブ「زين العباد بن فخر الدين بن جلال بن أحمد بن فضل الواسطي」から1段ずらして復元。ラカブ فخر الدين のみで固有名(اسم)は原文に無し。corpus に本伝なし。	corpus見出し #AIND-D03050「$ 900 زين العباد بن فخر الدين بن جلال بن أحمد بن فضل الواسطي . مات سنة ثمان وثلاثين」／「فخر الدين بن جلال」全文検索=D03050 の1件のみ、「بن جلال بن أحمد」=4件でいずれも別家（D05660 البحيري, D07314/D10388 التركماني）	H	FAM:D03050-WASITI
AIND-D03050	grandfather	جلال	NEW	NEW	جلال بن أحمد بن فضل الواسطي	Jalāl b. Aḥmad b. Faḍl al-Wāsiṭī	出現項: D03050（祖父）。孫=زين العباد（#AIND-D03050）、子=فخر الدين（同項の父・別途 NEW 提案）。D03050 の見出しナサブから2段ずらして復元。corpus に本伝なし。	corpus見出し #AIND-D03050「$ 900 زين العباد بن فخر الدين بن جلال بن أحمد بن فضل الواسطي」／「جلال بن أحمد بن فضل」で始まる見出しは corpus に0件	H	FAM:D03050-WASITI
AIND-D03051	father	الرماح	KEEP	KEEP				原文 D03051「زين قرا بن الرماح」の「ابن الرماح」は個人名ではなく家名(شهرة)。同じ家名を持つ別人 #AIND-D09621「عبد القادر بن الرماح الماضي」が corpus に現れ、他に #AIND-D01538「ويعرف بابن الرماح」#AIND-D06338/#AIND-D10600「ويعرف بالرماح」もあり、父個人を一意に同定できない。復元形は「（名不詳）الرماح」にとどまる＝§KEEP（名不詳・複数候補）。relation subtype=father 自体の当否も要再検討（FIX 候補）	M	
AIND-D03056	son	محمد	AIND:#AIND-D07407	AIND-D07407			ID-Master 追加不要。	corpus見出し #AIND-D07407「$ 613 محمد بن سالم بن ذاكر المكي الصائغ قريب الرئيس محمد بن أبي الخير . مات بمكة في جمادى الأولى سنة اثنتين وثمانين」＝本項主 D03056「سالم بن ذاكر … الكازروني الأصل المكي المؤذن الصائغ والد محمد وعلي وعبد العزيز」の父名・地・職(الصائغ)が一致	H	
AIND-D03056	son	علي	AIND:#AIND-D05155	AIND-D05155			ID-Master 追加不要。	corpus見出し #AIND-D05155「$ 752 علي بن سالم بن ذاكر المكي الصائغ قريب رئيس المؤذنين بمكة . مات بها في رمضان سنة اثنتين وثمانين ودفن بالمعلاة」＝D03056「والد محمد وعلي وعبد العزيز」の次子。職 الصائغ・地 المكي 一致（三男 عبد العزيز は既登録 TMP-P-000813）	H	
AIND-D03061	father	عبد الوهاب	AIND:#AIND-D04804	AIND-D04804			ID-Master 追加不要。	corpus見出し #AIND-D04804「$ 411 عبد الوهاب تاج الدين الدمشقي ثم القاهري خليفة المقام الأحمدي بطنتدا ووالد سالم الماضي . مات بها فجأة في جمادى الآخرة سنة ست وستين」＝「والد سالم الماضي」で本項主 D03061「سالم بن عبد الوهاب المجد بن التاج الدمشقي القاهري خليفة المقام الأحمدي بطنتدا」と相互参照が成立	H	
AIND-D03080	father	أحمد	NEW	NEW	أحمد بن علي المكي البنا | ابن ناصر	Aḥmad b. ʿAlī al-Makkī al-Bannāʾ (Ibn Nāṣir)	出現項: D03080（父）。メッカの建築工(البنا=TMP-O-00187)で、シュフラは ابن ناصر。子=سعد بن أحمد بن علي المكي البنا（#AIND-D03080、サハーウィーの聴聞者）。D03080 の見出し「سعد بن أحمد بن علي المكي البنا ويعرف أبوه بابن ناصر」から1段ずらして復元（「ويعرف أبوه بابن ناصر」は父に明示的に帰属する原文要素）。corpus に本伝なし。	corpus見出し #AIND-D03080「$ 929 سعد بن أحمد بن علي المكي البنا ويعرف أبوه بابن ناصر . ممن سمع مني بمكة」／「أحمد بن علي المكي البنا」全文検索=D03080 の1件のみ。「ويعرف بابن ناصر」を持つ他項(D02598 الحجازي, D05311 الحصني, D05795 البليناوي, D05668)はいずれも別人	H	
