# ID-Master の重複IDのうち削除した行の完全な記録（2026-09-18、Waka 承認）
# 削除前の行番号／7列（担当, Category, Arabic, Latin, ID, Note, 修正・調整）をそのまま保存する。
# 残した行（keep）は docs/records_B86/ID-Master重複ID_整理案_20260918.md を参照。
row	担当	Category	Arabic	Latin	ID	Note	修正・調整
14		Text	الصحيح	al-Ṣaḥīḥ	Q1023470		
399		Person	إبراهيم بن حسن بن عليبة		AIND-D00104	旧TMP-P-000171（名寄せ 2026-09-07 監査）	
1256		Nisbah	الطاوسي	al-Ṭāwsī	TMP-N-00266		TMP-N-00266（الطاووسي）と同一実体の重複登録＝N-00266へ統合し本番号は廃番（異綴りはN-00266のArabic欄に「|」区切りで集約）。旧TMP-N-00496から統合(異綴)。
6302		Person	الغماري		AIND-D08929	旧TMP-P-000354（名寄せ 2026-09-15、B79-83 §A-2）→ AIND-D08929	
6488		Person	البدر	al-Badr	AIND-D02507	旧TMP-P-000488（名寄せ 2026-09-07 監査）。cousin / patron（D00527）= البدر حسن بن إبراهيم بن عليبة	
6489		Person	عبد القادر	ʿAbd al-Qādir	AIND-D04089	旧TMP-P-000489（名寄せ 2026-09-07 監査）。cousin / patron（D00527）= عبد القادر بن إبراهيم بن عليبة	
6552		Person	أبو الهول الجزري	Abū al-Hawl al-Jazarī	TMP-P-000388	旧TMP-P-000544（名寄せ 2026-09-07 監査、TMP-P-000388と重複）。師（سمع، بفوت＝フートで聴聞）。corpusに立項なし。	D01257
6575		Person	ابن أبي عذيبة	Ibn Abī ʿUdhayba	TMP-P-000561	旧TMP-P-000564（名寄せ 2026-09-07 監査、TMP-P-000561と重複）。出現: D01155・D00886。情報源（قاله ابن أبي عذيبة）＝Pattern A 言及者。	新規発行。将来AIND同定できれば書換。
6647		Person	العز الكناني	al-ʿIzz al-Kinānī	AIND-D00462	旧TMP-P-000609（名寄せ 2026-09-07 監査）。= AIND-D00462 عز الدين الكناني الحنبلي。出現: D01497（ناب عن قاضيها العز الكناني）、D00134（قريبه）	
6840		Person	الطاوسي	al-Ṭāwūsī	AIND-D00900	出現: D03407(لقيه فاستفاد منه/أرخ وفاته)。おそらくأبو الفتوح الطاوسي(要同定)。nisbah番号TMP-N-00496のperson位置流用を解消	★B49-53 §D-1裁定により #AIND-D00900 へ統合。「おそらく/要同定」の記述は解消済。新規発行不可・使用禁止。
7146		Institution	الخانقاه البيبرسية	al-Khānqāh al-Baybarsiyya	Q6400398	D05665 カイロ。wd:Q6400398（خانقاه بيبرس الجاشنكير）と同一施設。旧TMP-I-00107（名寄せ 2026-09-07）	
7181		Text	إنباء الغمر	Inbāʾ al-Ghumr	TMP-T-00034	D05695 イブン・ハジャルの年代記→wd要照合。TMP-T-00034（同一書名）と重複登録→T-00034に統合し本番号は廃。旧TMP-T-00139（名寄せ 2026-09-07）	
