batch	review_date	n_entries	draft_model	verify_model	content_H	content_M	content_L	content_total	mech_violations	total_defects	per_100	pipeline_era	note
B59-63	2026-08-22	94	claude-opus-5	claude(バージョン不特定)			11(内訳不明)	11(内訳不明)		11	11.7	A: 単一検証パス（重大度内訳なし）	独立検証パスが導入された最初期のバッチ。「作り込み誤り7件+取りこぼし4件」と記録されるのみで重大度分類なし
B64-67	2026-09-02	79	claude-fable-5-1	claude(バージョン不特定)	6	10	10	26		26	32.9	A: 単一検証パス（H/M/L）	
B68	2026-09-04	82	claude-fable-5-1	claude(バージョン不特定)	2	6	8	16		16	19.5	A: 単一検証パス（H/M/L）	
B69-73	2026-09-04	95	claude-fable-5-1	claude(バージョン不特定)	4	10	15	29		29	30.5	A: 単一検証パス（H/M/L）	
B74-78	2026-09-08	90	claude-fable-5-1	claude(バージョン不特定)	6	7	8	21		21	23.3	A: 単一検証パス（H/M/L）	
B79-83	2026-09-09	100	claude-fable-5-1	claude(バージョン不特定)	1	11	18	30		30	30.0	A: 単一検証パス（H/M/L）	60件+40件の2レポート合算
B86	2026-09-18	20	claude-opus-5	claude-opus-5(自己)	2	3	3	8	0	8	40.0	B: 内容+機械の2パス	日付換算方式(ユリウス暦/グレゴリオ暦)の規約未確定によるチャンク間不整合が主因。値が突出しているのはこの一過性の論点のため
B87	2026-09-18/21	77	claude-fable-5	claude-opus-5	3	8	0	11	2	13	16.9	B: 内容+機械の2パス	git上はB88と同一コミット(510bfaa)にまとめて記録されていた
B88	2026-09-24	159	claude-fable-5	claude-opus-5	5	8	0	13	11	24	15.1	B: 内容+機械の2パス	
B89-93	2026-09-25	100	claude-fable-5-1	claude-opus-5/fable-5-1(集約)	4	0	0	4	2	6	6.0	B: 内容+機械の2パス	別途チャンク内自己申告ISSUES47件(→14件は規則で解決・7件はWaka裁定)を記録。検証パス指摘数とは別カテゴリのため主系列に含めず
