file	id	relation_subtype	xml:lang	違反種別	検出尾部語	desc
AIND-D00031_579627647029.xml	AIND-D00031	other	en	非アラビア文字		Son-in-law (ṣihr). Also known as Amīn Ḥaram.
AIND-D00060_996411441289.xml	AIND-D00060	student	ar	尾部語	شيخنا	أولاد شيخنا (ابن حجر العسقلاني)
AIND-D00062_357375672458.xml	AIND-D00062	teacher	ar	尾部語	شيخنا	شيخنا (ابن حجر العسقلاني)
AIND-D00094_913175478502.xml	AIND-D00094	other	ja	非アラビア文字		スライマーン・ブン・ジブリールはイブラーヒームの継父(母の夫)。そのため「イブラーヒーム・ブン・スライマーン・ブン・マルワーン」とも呼ばれた。
AIND-D00134_126596677951.xml	AIND-D00134	teacher	ar	尾部語	امه	خديجة (أمه)
AIND-D00134_126596677951.xml	AIND-D00134	other	ar	尾部語	قريب	قريب
AIND-D00240_629648917024.xml	AIND-D00240	grandfather	ar	尾部語	الاتي,قريبا	الآتي قريبا فيما يظهر
AIND-D00420_898029847464.xml	AIND-D00420	uncle	ar	尾部語	خاله	القاضي تاج الدين (خاله)
AIND-D00422_961284146092.xml	AIND-D00422	son-in-law	ar	尾部語	ابنته	عبد العزيز العقيلي — تزوج ابنته وكان موتهما متقاربا
AIND-D00427_683818353584.xml	AIND-D00427	relative	ar	尾部語	ابيه,شيخنا,عم	شيخنا الجلال المحلي — صاحب الترجمة عم أبيه
AIND-D00433_827632649152.xml	AIND-D00433	brother	ar	尾部語	الاتي	علي الآتي
AIND-D00435_936139293631.xml	AIND-D00435	father	ar	尾部語	الماضي	إبراهيم الماضي
AIND-D00438_453790139343.xml	AIND-D00438	teacher	ar	尾部語	جده	جده الجمال عبد الله بن جماعة
AIND-D00438_453790139343.xml	AIND-D00438	brother	ar	尾部語	الاتي	محمد (النجم، الآتي)
AIND-D00598_236701353240.xml	AIND-D00598	siblings_child	ar	尾部語	الاتي,صاحبنا	الشهاب القسطلاني (صاحبنا الآتي)
AIND-D00666_760628643216.xml	AIND-D00666	other	ja	非アラビア文字		義父
AIND-D00767_401189373546.xml	AIND-D00767	maternal_grandfather	ar	尾部語	جده,شيخنا	جده لأمه شيخنا ابن حجر العسقلاني（سبط، واستجاز له）
AIND-D00871_601098291011.xml	AIND-D00871	student	ar	尾部語	شيخنا	شيخنا الأبي (الموفق الأبي)
AIND-D00871_601098291011.xml	AIND-D00871	student	ar	尾部語	شيخنا	رابعة ابنة شيخنا (ابن حجر)
AIND-D00889_383892064103.xml	AIND-D00889	brother	ar	尾部語	اخوه	أخوه إسحاق بن عبد الله بن بلال الفراش بمكة
AIND-D00911_396453370104.xml	AIND-D00911	relative	ar	尾部語	قريبه	قريبه إسحاق بن عبد الله بن بلال الفراش بمكة
AIND-D01038_604562786488.xml	AIND-D01038	maternal_grandfather	ar	尾部語＋非アラビア文字	سبط	الشيخ أبو بكر بن عمر الزين الطريني المحلي                 المالكي（سبط、母方祖父・聖者）
AIND-D01049_756849576146.xml	AIND-D01049	ancestor	ar	尾部語＋非アラビア文字	جد,شيخنا	شيخنا ابن حجر العسقلاني（جد الأب / 曽祖父）
AIND-D01049_756849576146.xml	AIND-D01049	paternal_grandfather	ar	尾部語＋非アラビア文字	حفيد,شيخنا	البدر محمد ابن شيخنا ابن حجر（حفيد البدر = バドルの孫）
AIND-D01056_291835480282.xml	AIND-D01056	other	ja	非アラビア文字		義父
AIND-D01118_988433877357.xml	AIND-D01118	other	ar	尾部語	قريبه	قريبه أبو القسم بن إبراهيم بن عبد الله
AIND-D01130_326677563774.xml	AIND-D01130	cousin	ar	尾部語	الماضي	أحمد ابن صالح بن محمد الماضي
